WORD	CLUSTER_ID
easi	2
let	2
hard	2
rather	2
awesom	2
goe	2
presenc	2
want	2
highli	2
oili	2
enjoy	2
prefer	2
didn	2
abt	2
truli	2
kind	2
hit	2
ll	2
bite	2
class	2
dai	2
thank	2
remind	2
averag	2
perfectli	2
bad	2
overwhelm	2
describ	2
low	2
price	2
awai	2
fairli	2
noth	2
enough	2
blend	2
tasti	2
without	2
serv	2
overpow	2
new	2
round	2
sit	2
need	2
surprisingli	2
found	2
throughout	2
super	2
open	2
interest	2
perhap	2
drank	2
hide	2
syrupi	2
becom	2
classic	2
front	2
real	2
outstand	2
sampl	2
silki	2
simpli	2
keep	2
certainli	2
recommend	2
